title,funder,project_reference,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_url
EPSRC Centre for Doctoral Training in Theory and Modelling in Chemical Sciences.,EPSRC,EP/L015722/1,2014-04-01,2022-09-30,4456570,University of Oxford,Theory and Modelling in Chem Sci CDT,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,David,Edwin,Logan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015722%2F1
EPSRC Centre for Doctoral Training in Additive Manufacturing and 3D Printing,EPSRC,EP/L01534X/1,2014-04-01,2022-09-30,4557040,University of Nottingham,Faculty of Engineering,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Christopher,John,Tuck,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL01534X%2F1
EPSRC Centre for Doctoral Training in Future Infrastructure and Built Environment,EPSRC,EP/L016095/1,2014-04-01,2022-09-30,4417690,University of Cambridge,Engineering,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Lord Robert,,Mair,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016095%2F1
LSI DTCs 2007-Doctoral Training Centre for Regenerative Medicine,EPSRC,EP/F500491/1,2008-10-01,2018-03-31,7155550,Loughborough University,"Wolfson Sch of Mech, Elec & Manufac Eng","Loughborough University, Loughborough, Leicestershire, LE11 3TU, East Midlands, United Kingdom",LE11 3TU,East Midlands,David John,,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF500491%2F1
CENTRE FOR DOCTORAL TRAINING IN THE EPSRC CENTRE FOR INNOVATIVE MANUFACTURING IN EMERGENT MACROMOLECULAR THERAPIES,EPSRC,EP/K503332/1,2012-10-01,2019-03-31,2410820,University College London,Biochemical Engineering,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Paul,Anthony,Dalby,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK503332%2F1
EPSRC Centre for Doctoral Training in Physical Sciences for Health (Sci-Phy-4-Health),EPSRC,EP/L016346/1,2014-04-01,2022-09-30,3509720,University of Birmingham,School of Chemistry,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Michael,John,Hannon,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016346%2F1
EPSRC Centre for Doctoral Training in Advanced Composites for Innovation and Science,EPSRC,EP/L016028/1,2014-04-01,2022-09-30,4858760,University of Bristol,Aerospace Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Paul,Michael,Weaver,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016028%2F1
EPSRC Centre for Doctoral Training in the Decarbonisation of the Built Environment (DBE),EPSRC,EP/L016869/1,2014-06-20,2022-12-19,5061,University of Bath,Architecture and Civil Engineering,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Sukumar,,Natarajan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016869%2F1
EPSRC Centre for Doctoral Training in Integrated Photonic and Electronic Systems,EPSRC,EP/L015455/1,2014-04-01,2022-09-30,4259180,University College London,Electronic and Electrical Engineering,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Alwyn,,Seeds,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015455%2F1
EPSRC Centre for Doctoral Training in Physical Sciences Innovation in Chemical Biology for Bioindustry and Healthcare,EPSRC,EP/L015498/1,2014-04-01,2022-09-30,4617550,Imperial College London,Dept of Chemistry,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Oscar,,Ces,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015498%2F1
EPSRC Centre for Doctoral Training in Soft Matter and Functional Interfaces,EPSRC,EP/L015536/1,2014-04-01,2022-09-30,4807570,Durham University,Chemistry,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Tom,,McLeish,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015536%2F1
EPSRC Centre for Doctoral Training in Robotics and Autonomous Systems (RAS) in Edinburgh,EPSRC,EP/L016834/1,2014-04-01,2022-09-30,5741640,Heriot-Watt University,Sch of Engineering and Physical Science,"Administration Building, Riccarton, Ricarton, Currie, EH14 4AS, Scotland, United Kingdom",EH14 4AS,Scotland,David,,Lane,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016834%2F1
EPSRC Centre for Doctoral Training in Molecular Modelling and Materials Science,EPSRC,EP/L015862/1,2014-04-01,2022-09-30,3821570,University College London,Chemistry,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Ivan,Paul,Parkin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015862%2F1
EPSRC Centre for Doctoral Training in High Performance Embedded and Distributed Systems,EPSRC,EP/L016796/1,2014-04-01,2022-09-30,4081690,Imperial College London,Dept of Computing,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Wayne,,Luk,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016796%2F1
EPSRC Centre for Doctoral Training in Power Networks at The University of Manchester,EPSRC,EP/L016141/1,2014-04-01,2022-09-30,3948760,University of Manchester,Electrical and Electronic Engineering,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Peter,,Crossley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016141%2F1
"EPSRC Centre for Doctoral Training in Polymers, Soft Matter and Colloids",EPSRC,EP/L016281/1,2014-04-01,2022-09-30,4066460,University of Sheffield,Chemistry,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Steven,,Armes,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016281%2F1
EPSRC Centre for Doctoral Training in Theory and Simulation of Materials,EPSRC,EP/L015579/1,2014-04-01,2022-09-30,4356840,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Arash,,Mostofi,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015579%2F1
EPSRC Centre for Doctoral Training in Complex Particulate Products and Processes,EPSRC,EP/L015285/1,2014-05-01,2022-10-31,3585910,University of Leeds,Chemical and Process Engineering,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Kevin,John,Roberts,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015285%2F1
EPSRC Centre for Doctoral Training in Neurotechnology for Life and Health,EPSRC,EP/L016737/1,2014-04-01,2022-09-30,4164300,Imperial College London,Dept of Bioengineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Simon,Ross,Schultz,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016737%2F1
EPSRC Centre for Doctoral Training in Autonomous Intelligent Machines and Systems (AIMS),EPSRC,EP/L015897/1,2014-04-01,2022-09-30,4548910,University of Oxford,Engineering Science,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Niki,,Trigoni,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015897%2F1
EPSRC Centre for Doctoral Training in Nuclear Energy: Building UK Civil Nuclear Skills for Global Markets.,EPSRC,EP/L015900/1,2014-04-01,2022-09-30,4153660,Imperial College London,Materials,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,William Edward (Bill),,Lee,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015900%2F1
EPSRC CENTRE FOR DOCTORAL TRAINING IN STATISTICS &amp; OPERATIONAL RESEARCH IN PARTNERSHIP WITH INDUSTRY (STOR-i),EPSRC,EP/L015692/1,2014-04-01,2022-09-30,3878130,Lancaster University,Mathematics and Statistics,"University House, Lancaster, Lancashire, LA1 4YW, North West, United Kingdom",LA1 4YW,North West,Jonathan,,Tawn,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015692%2F1
EPSRC Centre for Doctoral Training in Statistical Applied Mathematics at Bath (SAMBa),EPSRC,EP/L015684/1,2014-05-01,2022-10-31,3774210,University of Bath,Mathematical Sciences,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Andreas,Eou,Kyprianou,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015684%2F1
EPSRC Centre for Doctoral Training in Water Informatics: Science and Engineering (WISE),EPSRC,EP/L016214/1,2014-04-01,2022-09-30,5292700,University of Exeter,Engineering Computer Science and Maths,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Dragan,,Savic,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016214%2F1
EPSRC Centre for Doctoral Training in Cloud Computing for Big Data,EPSRC,EP/L015358/1,2014-05-01,2022-10-31,3503440,Newcastle University,Computing Sciences,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Paul,,Watson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015358%2F1
EPSRC Centre for Doctoral Training in Future Communications 2: : Training Tomorrow's Internet Innovators,EPSRC,EP/L016656/1,2016-04-01,2022-09-30,3034320,University of Bristol,Electrical and Electronic Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,David,,Bull,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016656%2F1
EPSRC Centre for Doctoral Training in Synthesis for Biology and Medicine,EPSRC,EP/L015838/1,2014-04-01,2022-09-30,4811030,University of Oxford,Oxford Chemistry,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Darren,James,Dixon,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015838%2F1
EPSRC Centre for Doctoral Training in the Advanced Characterisation of Materials,EPSRC,EP/L015277/1,2014-05-01,2022-10-31,4226130,Imperial College London,Materials,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Stephen,John,Skinner,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015277%2F1
EPSRC Centre for Doctoral Training in Computational Methods for Materials Science,EPSRC,EP/L015552/1,2014-04-01,2022-09-30,4521210,University of Cambridge,Physics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Michael,Christopher,Payne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015552%2F1
EPSRC Centre for Doctoral Training in Carbon Capture and Storage and Cleaner Fossil Energy,EPSRC,EP/L016362/1,2014-04-01,2022-09-30,3452110,University of Nottingham,Faculty of Engineering,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Colin,Edward,Snape,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016362%2F1
EPSRC Centre for Doctoral Training in Analysis (Cambridge Centre for Analysis),EPSRC,EP/L016516/1,2014-05-01,2022-10-31,3239840,University of Cambridge,Pure Maths and Mathematical Statistics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,James,,Norris,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016516%2F1
EPSRC Centre for Doctoral Training in Future Autonomous and Robotic Systems - FARSCOPE,EPSRC,EP/L015293/1,2014-04-01,2022-09-30,4930860,University of Bristol,Aerospace Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Arthur,,Richards,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015293%2F1
EPSRC Centre for Doctoral Training in Photonic Integration and Advanced Data Storage,EPSRC,EP/L015323/1,2014-04-01,2022-09-30,3000000,Queen's University of Belfast,Sch of Mathematics and Physics,"University Road, Belfast, County Antrim, BT7 1NN, Northern Ireland, United Kingdom",BT7 1NN,Northern Ireland,Robert,,Bowman,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015323%2F1
EPSRC Centre for Doctoral Training in Intelligent Games &amp; Game Intelligence (IGGI),EPSRC,EP/L015846/1,2014-04-01,2022-09-30,5589510,University of York,Computer Science,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Peter,Ivan,Cowling,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015846%2F1
EPSRC Centre for Doctoral Training in the Science and Technology of Fusion Energy,EPSRC,EP/L01663X/1,2014-04-01,2022-09-30,3732000,University of York,Physics,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Howard,,Wilson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL01663X%2F1
Centre for Doctoral Training in Cyber Security at Royal Holloway: Renewal of the CS-CDT at RHUL,EPSRC,EP/P009301/1,2016-10-01,2023-03-31,3454900,"Royal Holloway, University of London",Information Security,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Carlos,,CID,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP009301%2F1
EPSRC and MRC Centre for Doctoral Training in Next Generation Statistical Science: The Oxford-Warwick Statistics Programme.,EPSRC,EP/L016710/1,2014-04-01,2022-09-30,4263190,University of Oxford,Statistics,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Christopher,,Holmes,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016710%2F1
EPSRC CENTRE FOR DOCTORAL TRAINING IN THE MATHEMATICS OF PLANET EARTH AT IMPERIAL COLLEGE LONDON AND THE UNIVERSITY OF READING,EPSRC,EP/L016613/1,2014-04-01,2022-09-30,5463490,Imperial College London,Dept of Mathematics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Dan,,Crisan,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016613%2F1
EPSRC and ESRC Centre for Doctoral Training in Quantification and Management of Risk &amp; Uncertainty in Complex Systems &amp; Environments.,EPSRC,EP/L015927/1,2014-10-01,2023-03-31,4113080,University of Liverpool,School of Engineering,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,John,,Mottershead,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015927%2F1
EPSRC Centre for Doctoral Training in Tissue Engineering and Regenerative Medicine; Innovation in Medical and Biological Engineering,EPSRC,EP/L014823/1,2014-04-01,2022-09-30,3334100,University of Leeds,Mechanical Engineering,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Joanne,Lisbeth,Tipper,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL014823%2F1
EPSRC Centre for Doctoral Training in Fuel Cells and their Fuels - Clean Power for the 21st Century,EPSRC,EP/L015749/1,2014-04-01,2022-09-30,4416320,University of Birmingham,Chemical Engineering,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Robert,,Steinberger-Wilckens,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015749%2F1
EPSRC Centre for Doctoral Training in Mathematical Analysis and its Applications:Maxwell Institute Graduate School in Analysis &amp; Applications - MIGSAA,EPSRC,EP/L016508/1,2014-05-01,2022-10-31,4543510,University of Edinburgh,Sch of Mathematics,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Anthony,,Carbery,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016508%2F1
The UK Doctoral Training Centre in Energy Demand Reduction and the Built Environment,EPSRC,EP/H009612/1,2009-10-01,2018-03-31,5814410,University College London,"Bartlett Sch of Env, Energy & Resources","Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Robert,John,Lowe,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FH009612%2F1
Advanced Composites Centre for Innovation &amp; Science (ACCIS) Doctoral Training Centre,EPSRC,EP/G036772/1,2009-10-01,2018-03-31,7133150,University of Bristol,Aerospace Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Michael,,Wisnom,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036772%2F1
Doctoral Training Centre in Advanced Metallic Systems - Challenges in Global Competitiveness,EPSRC,EP/G036950/1,2009-10-01,2018-03-31,6370660,University of Sheffield,Materials Science and Engineering,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Bradley,Peter,Wynne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG036950%2F1
Cambridge NanoScience through Engineering to Application Doctoral Training Centre: Assembly of Functional NanoMaterials and NanoDevices,EPSRC,EP/G037221/1,2009-10-01,2018-03-31,6758720,University of Cambridge,Physics,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Jeremy,John,Baumberg,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037221%2F1
Doctoral Training Centre in Digital Music and Media for the Creative Economy,EPSRC,EP/G03723X/1,2009-10-01,2018-03-31,5971210,"Queen Mary, University of London",Sch of Electronic Eng & Computer Science,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Mark,,Sandler,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG03723X%2F1
Doctoral Training Centre in Science and Application of Plastic Electronic Materials,EPSRC,EP/G037515/1,2009-10-01,2018-03-31,7293480,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Jenny,,Nelson,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FG037515%2F1
EPSRC Centre for Doctoral Training in Emergent Macromolecular Therapies (EMT): A National CDT linked to an EPSRC Centre for Innovative Manufacturing,EPSRC,EP/L015218/1,2015-10-01,2022-09-30,3709820,University College London,Biochemical Engineering,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Paul,Anthony,Dalby,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015218%2F1
EPSRC and MRC Centre for Doctoral Training in Optical Medical Imaging - Training the next generation of scientific entrepreneurs in healthcare tech.,EPSRC,EP/L016559/1,2014-05-01,2022-10-31,4536460,University of Edinburgh,Sch of Chemistry,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Mark,,Bradley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016559%2F1
EPSRC Centre for Doctoral Training in Catalysis,EPSRC,EP/L016443/1,2014-04-01,2022-09-30,4504580,Cardiff University,Chemistry,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Graham,,Hutchings,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016443%2F1
LSI Doctoral Training Centres - Medical devices doctoral training centre,EPSRC,EP/F50036X/1,2008-10-01,2018-03-31,4612580,University of Strathclyde,Biomedical Engineering,"16 Richmond Street, Glasgow, G1 1XQ, Scotland, United Kingdom",G1 1XQ,Scotland,Patricia,,Connolly,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF50036X%2F1
EPSRC Centre for Doctoral Training in Bioprocess Engineering Leadership,EPSRC,EP/L01520X/1,2014-10-01,2023-03-31,4424690,University College London,Biochemical Engineering,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Gary,,Lye,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL01520X%2F1
EPSRC Centre for Doctoral Training in Composites Manufacture,EPSRC,EP/L015102/1,2014-04-01,2022-09-30,3731260,University of Bristol,Aerospace Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Ivana,Katherine,Partridge,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015102%2F1
EPSRC Centre for Doctoral Training in Medical Imaging,EPSRC,EP/L016478/1,2014-04-01,2022-09-30,5686850,University College London,Medical Physics and Biomedical Eng,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Sebastien,,Ourselin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016478%2F1
EPSRC and MRC Centre for Doctoral Training in Biomedical Imaging,EPSRC,EP/L016052/1,2014-05-01,2022-10-31,3864870,University of Oxford,Biomedical Imaging CDT,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Peter,,Jezzard,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016052%2F1
EPSRC Centre for Doctoral Training in Next Generation Computational Modelling,EPSRC,EP/L015382/1,2014-04-01,2022-09-30,3941020,University of Southampton,Faculty of Engineering & the Environment,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Hans,,Fangohr,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015382%2F1
EPSRC Centre for Doctoral Training in Innovative Metal Processing IMPaCT,EPSRC,EP/L016206/1,2014-04-01,2022-09-30,3118340,University of Leicester,Engineering,"University Road, Leicester, Leicestershire, LE1 7RH, East Midlands, United Kingdom",LE1 7RH,East Midlands,Hongbiao,,Dong,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016206%2F1
EPSRC Centre for Doctoral Training in Delivering Quantum Technologies,EPSRC,EP/L015242/1,2014-04-01,2022-09-30,5004660,University College London,London Centre for Nanotechnology,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Daniel Edward,,Browne,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015242%2F1
Oxford University Centre for Doctoral Training in Cyber Security,EPSRC,EP/K035606/1,2013-04-01,2019-12-31,3662580,University of Oxford,Computer Science,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Andrew,,Martin,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK035606%2F1
EPSRC Centre for Doctoral Training in Data Science,EPSRC,EP/L016427/1,2014-04-01,2022-09-30,4726270,University of Edinburgh,Sch of Informatics,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Chris,,Williams,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016427%2F1
EPSRC Centre for Doctoral Training in Formulation Engineering,EPSRC,EP/L015153/1,2014-10-01,2023-03-31,3609850,University of Birmingham,Chemical Engineering,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Peter,Jonathan,Fryer,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015153%2F1
EPSRC Centre for Doctoral Training in Quantitative NDE,EPSRC,EP/L015587/1,2015-04-01,2022-09-30,3033180,Imperial College London,Dept of Mechanical Engineering,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Peter,,Cawley,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL015587%2F1
EPSRC Centre for Doctoral Training in Functional Materials: The BCFN,EPSRC,EP/L016648/1,2014-04-01,2022-09-30,4555660,University of Bristol,Physics,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Terence,James,McMaster,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016648%2F1
EPSRC Centre for Doctoral Training in Digital Civics,EPSRC,EP/L016176/1,2014-04-01,2022-09-30,4707330,Newcastle University,Computing Sciences,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Patrick,,Olivier,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL016176%2F1
Warwick Complexity Science Doctoral Training Centre 2,EPSRC,EP/I01358X/1,2011-10-01,2017-09-30,3442540,University of Warwick,Physics,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Robin,Christopher,Ball,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FI01358X%2F1
Wales ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500197/1,2011-10-01,2020-09-30,14239700,Cardiff University,Registry,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Amanda,,Rouse,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500197%2F1
LSI Doctoral Training Centres - Doctoral Training Centre in Cell &amp; Proteomic Technologies,EPSRC,EP/F500424/1,2008-10-01,2018-03-31,4820420,University of Glasgow,School of Life Sciences,"University Avenue, Glasgow, G12 8QQ, Scotland, United Kingdom",G12 8QQ,Scotland,Jonathan,,Cooper,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF500424%2F1
LSI Doctoral Training Centres - Molecular organisation and assembly in cells (MOAC) doctoral training centre,EPSRC,EP/F500378/1,2008-10-01,2018-03-31,5496420,University of Warwick,Chemistry,"Warwickshire, Coventry, West Midlands, CV4 7AL, West Midlands, United Kingdom",CV4 7AL,West Midlands,Alison,,Rodger,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FF500378%2F1
Queen Mary and Goldsmiths ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500124/1,2011-10-01,2020-09-30,4595040,"Queen Mary, University of London",English,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Virginia,Grace,Davis,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500124%2F1
North West ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500094/1,2011-10-01,2020-09-30,24718100,University of Liverpool,Graduate School,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Peter,William,Batey,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500094%2F1
Cambridge &amp; Cranfield Doctoral Training Centre in Ultra Precision,EPSRC,EP/K503241/1,2012-10-01,2019-03-31,2566790,University of Cambridge,Engineering,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,William,,O'Neill,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK503241%2F1
London Business School ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500069/1,2011-10-01,2020-09-30,2946600,London Business School,Research and Faculty Office,"Sussex Place, Regents Park, London, NW1 4SA, London, United Kingdom",NW1 4SA,London,Phanish,,Puranam,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500069%2F1
University of Southampton ESRC Doctoral Training Centre DTG 2011,ESRC,ES/J500161/1,2011-10-01,2020-09-30,7438930,University of Southampton,School of Social Sciences,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Jane,Cecelia,Falkingham,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500161%2F1
