title,funder,type,start,end,award_in_pounds,lead_org,lead_org_dept,lead_org_address,lead_org_postcode,lead_org_region,grant_holder_firstname,grant_holder_othernames,grant_holder_surname,gtr_project_reference,gtr_url
Training Grant Aberystwyth,STFC,DTP,2014-10-01,2018-09-30,141734,Aberystwyth University,Inst of Mathematical and Physical Sci,"Old College, King Street, Ceredigion, Aberystwyth, Dyfed, SY23 2AX, Wales, United Kingdom",SY23 2AX,Wales,Andy,,Evans,ST/M503356/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503356%2F1
Predicting MS MS Fragmentation using Density Function Theory Calculations,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of Southampton,School of Chemistry,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Graham,John,Langley,BB/N504087/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN504087%2F1
Industrial CASE Account - Brunel University 2013,EPSRC,DTP,2013-10-01,2018-09-30,68648,Brunel University,Research Support and Development Office,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Adam,,Bell,EP/L505377/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505377%2F1
The role of PI34P2 during neutrophil chemotaxis,BBSRC,DTP,2013-10-01,2017-09-30,93520,Babraham Institute,Molecular Signalling,"Babraham Research Campus, Cambridge, Cambridgeshire, CB22 3AT, East of England, United Kingdom",CB22 3AT,East of England,Phillip,,Hawkins,BB/L502212/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502212%2F1
PML-2013-DTG Funding 2 Studentships,NERC,DTP,2013-10-01,2017-03-31,145742,Plymouth Marine Laboratory,Plymouth Marine Lab,"Prospect Place, West Hoe, Plymouth, PL1 3DH, South West, United Kingdom",PL1 3DH,South West,Carol,,Smith,NE/L50189X/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL50189X%2F1
"Industrial CASE Account - Queen Mary, University of London 2013",EPSRC,DTP,2013-10-01,2018-09-30,346806,"Queen Mary, University of London",Research Support Services,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Jan,,Clarke,EP/L505602/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505602%2F1
Investigation of key inflammatory cells &amp; mediators in zebrafish larval tailfin &amp; heart repair/regeneration following resolution of inflammation,NC3Rs,DTP,2017-03-01,2020-02-29,90000,University of Edinburgh,MRC Centre for Inflammation Research,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Adriano,,Rossi,NC/P002196/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FP002196%2F1
Industrial CASE Account - Loughborough University 2013,EPSRC,DTP,2013-10-01,2018-09-30,274592,Loughborough University,Enterprise Office,"Loughborough University, Loughborough, Leicestershire, LE11 3TU, East Midlands, United Kingdom",LE11 3TU,East Midlands,Kathryn,,Walsh,EP/L505535/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505535%2F1
Industrial CASE Account - Newcastle University 2011,EPSRC,DTP,2011-10-01,2016-09-30,69121,Newcastle University,Research and Enterprise Services,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Nicky,M,Houghton,EP/J502108/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ502108%2F1
Training Grant Brunel,STFC,DTP,2014-10-01,2018-09-30,178902,Brunel University,Electronic and Computer Engineering,"Brunel University, Uxbridge, Middlesex, UB8 3PH, London, United Kingdom",UB8 3PH,London,Peter,Robert,Hobson,ST/M503393/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503393%2F1
BGP Capacity Building Grant Proposal,AHRC,DTP,2011-10-01,2017-09-30,393542,Oxford Brookes University,Faculty of Humanities and Social Sci,"Headington Campus, Gipsy Lane, Oxford, Oxfordshire, OX3 0BP, South East, United Kingdom",OX3 0BP,South East,Nathalie,,Aubert,AH/J000566/1,http://gtr.rcuk.ac.uk:80/projects?ref=AH%2FJ000566%2F1
DTA - University of Sheffield,EPSRC,DTP,2012-10-01,2016-09-30,3977690,University of Sheffield,Research Finance,"Firth Court, Western Bank, Sheffield, South Yorkshire, S10 2TN, Yorkshire and The Humber, United Kingdom",S10 2TN,Yorkshire and The Humber,Kirsty,Louise,Lindley,EP/K503149/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK503149%2F1
Engineering threonine aldolases as biocatalysts for stereo-controlled synthesis of pharmaceuticals.,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Leeds,Astbury Centre,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Alan,,Berry,BB/L014424/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL014424%2F1
Industrial CASE Account - University of Exeter 2015,EPSRC,DTP,2015-10-01,2020-09-30,161340,University of Exeter,Biosciences,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Nicholas,Jose,Talbot,EP/N509164/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509164%2F1
"Industrial CASE Account - Queen Mary, University of London",EPSRC,DTP,2016-10-01,2021-09-30,81430,"Queen Mary, University of London",Research Support Services,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Jan,,Clarke,EP/P510610/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FP510610%2F1
Interactions of TNFalpha and NGF signalling in primary sensory neurones,BBSRC,DTP,2014-10-01,2018-09-30,102126,King's College London,Wolfson Centre for Age Related Diseases,"Capital House, 2nd Floor, Guys Campus, 42 Weston Street, London, SE1 3QD, London, United Kingdom",SE1 3QD,London,Stephen,Brendan,McMahon,BB/M503150/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503150%2F1
Human physiology informed by wearable biosensor informatics and activity profiling in a free living environment,BBSRC,DTP,2016-10-01,2020-09-30,104696,Imperial College London,Dept of Computing,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Guang-Zhong,,Yang,BB/P504592/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504592%2F1
Industrial CASE Account - University of Southampton 2011,EPSRC,DTP,2011-10-01,2016-09-30,760331,University of Southampton,Research and Innovation Services,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Philip,,Jewell,EP/J502200/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ502200%2F1
London: School of Economics and Political Science - ESRC Standard Research Transition Standard Quota DTG,ESRC,DTP,2011-04-01,2017-09-30,3114340,London School of Economics & Pol Sci,Research & Project Development Division,"Houghton Street, Aldwych, London, WC2A 2AE, London, United Kingdom",WC2A 2AE,London,Rose,,Harris,ES/I903364/1,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FI903364%2F1
Genomic regulation of tillering and stem nodal propagation in the energy crop Miscanthus,BBSRC,DTP,2014-06-30,2018-06-29,93520,Aberystwyth University,IBERS,"Old College, King Street, Ceredigion, Aberystwyth, Dyfed, SY23 2AX, Wales, United Kingdom",SY23 2AX,Wales,Kerrie,,Farrar,BB/K012258/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012258%2F1
Study of nucleotide monophosphate kinases attachment to surfaces for new sensor development,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Bath,Chemistry,"University of Bath, Claverton Down, Bath, Avon, BA2 7AY, South West, United Kingdom",BA2 7AY,South West,Andrew Tobias Aveling,,Jenkins,BB/K011995/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011995%2F1
DTA - University of Dundee,EPSRC,DTP,2014-10-01,2018-09-30,538308,University of Dundee,Registry,"University of Dundee, Nethergate, DD1 4HN, Scotland, United Kingdom",DD1 4HN,Scotland,Martin,,Glover,EP/M506497/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM506497%2F1
Algal Surfactants- Lower Algal Surface Tension (LAST),BBSRC,DTP,2015-09-01,2019-08-31,94126,Scottish Association For Marine Science,Scottish Association For Marine Science,"Dunstaffnage Marine Laboratory, Dunbeg, Oban, Argyll, PA37 1QA, Scotland, United Kingdom",PA37 1QA,Scotland,Michele,,Stanley,BB/L016656/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016656%2F1
Industrial CASE Account - Cranfield University 2014,EPSRC,DTP,2014-10-01,2019-09-30,625716,Cranfield University,Administration,"Cranfield, Bedford, Bedfordshire, MK43 0AL, East of England, United Kingdom",MK43 0AL,East of England,William,,Stephens,EP/M507374/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507374%2F1
Investigating the 2 oxoglutarate oxygenase JMJD4 as a novel target,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Birmingham,Cancer Sciences,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Mathew,,Coleman,BB/L502340/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502340%2F1
Plant Models that link Systems Biology and Crop Science,BBSRC,DTP,2013-10-01,2018-08-30,93520,University of Edinburgh,Biological Services,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,Andrew,John,Millar,BB/K011294/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011294%2F1
BGP Capacity Building Grant Proposal,AHRC,DTP,2011-10-03,2017-10-02,264438,Bournemouth University,Graduate School,"M404 Melbury House, 1-3 Oxford Road, Bournemouth, Dorset, BH8 8ES, South West, United Kingdom",BH8 8ES,South West,Kate,,Welham,AH/J000639/1,http://gtr.rcuk.ac.uk:80/projects?ref=AH%2FJ000639%2F1
High throughput Coherent antiStokes Raman Scattering microscopy for drug development and cellular phenotyping,BBSRC,DTP,2015-10-01,2019-09-30,95042,Cardiff University,School of Biosciences,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Peter,Duncan,Watson,BB/N50371X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN50371X%2F1
Micronutrient fortification of potato crops,BBSRC,DTP,2013-10-01,2017-09-30,93520,Nottingham Trent University,School of Science & Technology,"Burton Street, Nottingham, Nottinghamshire, NG1 4BU, East Midlands, United Kingdom",NG1 4BU,East Midlands,Gareth,Wynn,Cave,BB/K012878/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012878%2F1
Industrial CASE Account - University of Bristol 2015,EPSRC,DTP,2015-10-01,2020-09-30,968040,University of Bristol,Aerospace Engineering,"Senate House, Bristol, Avon, BS8 1TH, South West, United Kingdom",BS8 1TH,South West,Nick,,Lieven,EP/N509085/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FN509085%2F1
DTA - University of Birmingham,EPSRC,DTP,2012-10-01,2016-09-30,1800790,University of Birmingham,The Registrar,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Rachel,,Patti,EP/K502984/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK502984%2F1
Industrial CASE Account - Oxford Brookes University 2011,EPSRC,DTP,2011-10-01,2016-09-30,69121,Oxford Brookes University,Finance Office,"Headington Campus, Gipsy Lane, Oxford, Oxfordshire, OX3 0BP, South East, United Kingdom",OX3 0BP,South East,Denise,,Morrey,EP/J502145/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FJ502145%2F1
Epigenetic determinants of optimal skin response to UV radiation,BBSRC,DTP,2015-10-01,2019-09-30,95042,University of Manchester,School of Biological Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Rachel,Elizabeth,Watson,BB/N503599/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FN503599%2F1
The impact of VEGF in regulating vascular permeability in blood vessels from retinal and choroidal regions of the eye,BBSRC,DTP,2013-10-01,2017-09-30,101520,University College London,Institute of Ophthalmology,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Stephen,Edward,Moss,BB/L502157/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502157%2F1
Industrial CASE Account - University of Essex 2013,EPSRC,DTP,2013-10-01,2018-09-30,205944,University of Essex,Computer Sci and Electronic Engineering,"Wivenhoe Park, Colchester, Essex, CO4 3SQ, East of England, United Kingdom",CO4 3SQ,East of England,Klaus D,,McDonald-Maier,EP/L505432/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505432%2F1
Training the next generation of environmental scientists,NERC,DTP,2014-07-14,2020-10-31,3393220,University of Manchester,Earth Atmospheric and Env Sciences,"Oxford Road, Manchester, M13 9PL, North West, United Kingdom",M13 9PL,North West,Geraint,,Vaughan,NE/L002469/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL002469%2F1
Viability and vitality in Saccharomyces cerevisiae: modelling for prediction of fermentation success from rapid measurements,BBSRC,DTP,2015-10-01,2019-09-30,95042,Aberystwyth University,IBERS,"Old College, King Street, Ceredigion, Aberystwyth, Dyfed, SY23 2AX, Wales, United Kingdom",SY23 2AX,Wales,Hazel,,Davey,BB/M015041/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM015041%2F1
BGP Capacity Building Grant Proposal,AHRC,DTP,2011-10-01,2017-09-30,333236,University College London,Doctoral School,"Gower Street, London, WC1E 6BT, London, United Kingdom",WC1E 6BT,London,Andrew,,Tolmie,AH/J000493/1,http://gtr.rcuk.ac.uk:80/projects?ref=AH%2FJ000493%2F1
Comparative molecular analysis of vernalization response in oilseed rape.,BBSRC,DTP,2013-10-01,2017-09-30,93520,John Innes Centre,Cell and Develop Biology,"Norwich Research Park, Colney, Norwich, Norwich, NR4 7UH, East of England, United Kingdom",NR4 7UH,East of England,Caroline,,Dean,BB/K012371/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK012371%2F1
Training Grant Exeter,STFC,DTP,2014-10-01,2018-09-30,141734,University of Exeter,Physics,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,William,Leslie,Barnes,ST/M503496/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503496%2F1
Industrial CASE Account - Newcastle University 2012,EPSRC,DTP,2012-10-01,2017-09-30,207907,Newcastle University,Research and Enterprise Services,"1 Park Terrace, Newcastle Upon Tyne, Tyne and Wear, NE1 7RU, North East, United Kingdom",NE1 7RU,North East,Nicky,M,Houghton,EP/K50449X/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK50449X%2F1
Improved In Silico Methods for Target Deconvolution in Phenotypic Screenings,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Cambridge,Chemistry,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Andreas,,Bender,BB/K011804/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011804%2F1
Structural and chemical biology approaches to characterize protein-protein interactions that regulate kinases,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Leicester,Biochemistry,"University Road, Leicester, Leicestershire, LE1 7RH, East Midlands, United Kingdom",LE1 7RH,East Midlands,Richard,William,Bayliss,BB/L016141/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016141%2F1
Understanding regulation of lipid synthesis and signalling in the skin barrier,BBSRC,DTP,2015-10-01,2019-09-30,103042,"Queen Mary, University of London",Blizard Institute of Cell and Molecular,"Mile End Road, London, E1 4NS, London, United Kingdom",E1 4NS,London,Edel,,OToole,BB/M016625/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM016625%2F1
Understanding processes and mechanisms affecting the oral microbiome using OMICs approaches,BBSRC,DTP,2016-10-01,2020-09-30,96696,University of Glasgow,"College of Medical, Veterinary &Life Sci","University Avenue, Glasgow, G12 8QQ, Scotland, United Kingdom",G12 8QQ,Scotland,Gordon,,Ramage,BB/P504567/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504567%2F1
The evolution and diversity of endogenous retroviral genomes in chicken brown and while egg layer populations,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Edinburgh,The Roslin Institute,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,David,William,Burt,BB/K010964/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK010964%2F1
Role of glycosylation in regulating antibody efficacy,BBSRC,DTP,2014-10-01,2018-09-30,94126,University of Southampton,Cancer Sciences,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Mark,,Cragg,BB/L014815/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL014815%2F1
Development of modelling approaches for realistic assessments on population impacts of endocrine disruption and alterations in reproduction in fish,BBSRC,DTP,2014-10-01,2019-02-28,94126,University of Exeter,Biosciences,"University of Exeter, Clydesdale House, Clydesdale Road, Exeter, EX4 4QX, South West, United Kingdom",EX4 4QX,South West,Charles,,Tyler,BB/M503423/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503423%2F1
Training Grant Swansea,STFC,DTP,2014-10-01,2018-09-30,136837,Swansea University,College of Science,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,Graham,,Shore,ST/M503848/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503848%2F1
RVC-2013-DTG Funding 1 Studentship,NERC,DTP,2013-10-01,2017-03-31,79871,Royal Veterinary College,Comparative Biomedical Sciences CBS,"Royal College Street, Camden Town, London, NW1 0TU, London, United Kingdom",NW1 0TU,London,John,Richard,Hutchinson,NE/L502017/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL502017%2F1
"Replacing, Reducing and Refining the Use of Animals in Anti-Filarial Drug Testing",NC3Rs,DTP,2015-08-01,2018-07-31,90000,Liverpool School of Tropical Medicine,Parasitology,"School Of Tropical Medicine, Pembroke Place, L3 5QA, Unknown",L3 5QA,Unknown,Joseph,,Turner,NC/M00175X/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FM00175X%2F1
Using Molecular Simulation to Improve Prediction of Drug Export.,NC3Rs,DTP,2013-10-01,2016-09-30,90000,University of Oxford,Biochemistry,"University Chest, Wellington Square, Oxford, OX1 2JD, South East, United Kingdom",OX1 2JD,South East,Philip,,Biggin,NC/K001388/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FK001388%2F1
Analysis of the developmental effects of foetal-maternal thyroid hormone metabolism and signalling using mathematical modelling,BBSRC,DTP,2016-10-03,2020-10-02,96696,Liverpool John Moores University,Computing and Mathematical Sciences,"Egerton Court, No 2 Rodney Street, Liverpool, L3 5UX, North West, United Kingdom",L3 5UX,North West,Steven,D,Webb,BB/P504622/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP504622%2F1
Genetic influences on sugar beet cell wall composition for biorefining,BBSRC,DTP,2013-10-01,2017-09-30,93520,University of Leeds,Ctr for Plant Sciences,"University of Leeds, Leeds, West Yorkshire, LS2 9JT, Yorkshire and The Humber, United Kingdom",LS2 9JT,Yorkshire and The Humber,Paul,,Knox,BB/K011456/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK011456%2F1
DTA - Swansea University,EPSRC,DTP,2012-10-01,2016-09-30,767043,Swansea University,Research and Innovation,"Singleton Park, SA2 8PP, Wales, United Kingdom",SA2 8PP,Wales,VICTORIA,,JONES,EP/K502935/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FK502935%2F1
Use of luminescent Pseudomonas aeruginosa biosensors to identify resistance pathways,BBSRC,DTP,2013-10-01,2017-09-30,93520,Cardiff University,School of Biosciences,"Research & Consultancy, PO Box 923, Cardiff, South Glamorgan, CF10 3TE, Wales, United Kingdom",CF10 3TE,Wales,Eshwar,,Mahenthiralingam,BB/L502078/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL502078%2F1
Training Grant Imperial Physics,STFC,DTP,2014-10-01,2018-09-30,1100470,Imperial College London,Dept of Physics,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Jordan,,Nash,ST/M503538/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FM503538%2F1
Quota Studentship 2012,STFC,DTP,2012-10-01,2017-09-30,403484,Durham University,Mathematical Sciences,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Paul,Robert,Mansfield,ST/K501967/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FK501967%2F1
SAMS-2012-DTG-Funding 3 Studentships,NERC,DTP,2012-09-03,2016-03-02,215388,Scottish Association For Marine Science,Scottish Association For Marine Science,"Dunstaffnage Marine Laboratory, Dunbeg, Oban, Argyll, PA37 1QA, Scotland, United Kingdom",PA37 1QA,Scotland,Axel,Edward,Miller,NE/K501128/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FK501128%2F1
Industrial CASE Account - University of Liverpool 2013,EPSRC,DTP,2013-10-01,2018-09-30,205944,University of Liverpool,Graduate School,"Senate House, Abercromby Square, Liverpool, L69 3BX, North West, United Kingdom",L69 3BX,North West,Debbie,,Henderson,EP/L505511/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FL505511%2F1
CEH-2013-DTG Funding 6 Studentships,NERC,DTP,2013-09-01,2017-02-28,449585,NERC Centre for Ecology and Hydrology,People and Skills,"Maclean Building, Benson Lane, Crowmarsh Gifford, Wallingford, Oxfordshire, OX10 8BB, Unknown, United Kingdom",OX10 8BB,Unknown,Carol,,Diffenthal,NE/L501645/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL501645%2F1
Industrial CASE Account - Durham University 2014,EPSRC,DTP,2014-10-01,2019-09-30,139048,Durham University,Student Financial Support,"Old Shire Hall, Old Elvet, Durham, County Durham, DH1 3HP, North East, United Kingdom",DH1 3HP,North East,Andrea,,Bailey,EP/M507386/1,http://gtr.rcuk.ac.uk:80/projects?ref=EP%2FM507386%2F1
Creating an in vitro model of pathogenic ossification to explore methods for dispersion,NC3Rs,DTP,2014-07-14,2017-07-13,90000,University of Birmingham,Chemical Engineering,"Edgbaston Park Road, Edgbaston, B15 2TT, West Midlands, United Kingdom",B15 2TT,West Midlands,Liam,Michael,Grover,NC/L001403/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FL001403%2F1
University of Southampton ESRC Doctoral Training Centre DTG 2011,ESRC,DTP,2011-10-01,2020-09-30,7438930,University of Southampton,School of Social Sciences,"Administration Building, Highfield, Southampton, Hampshire, SO17 1BJ, South East, United Kingdom",SO17 1BJ,South East,Jane,Cecelia,Falkingham,ES/J500161/1,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FJ500161%2F1
Development of a pan E. coli vaccine,BBSRC,DTP,2013-10-01,2017-09-30,101520,Imperial College London,Life Sciences,"South Kensington Campus, Exhibition Road, London, SW7 2AZ, London, United Kingdom",SW7 2AZ,London,Gad,,Frankel,BB/K01157X/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK01157X%2F1
Producing 'greener' high-value sports turf through soil microbial management,BBSRC,DTP,2015-10-01,2019-09-30,103042,"Royal Holloway, University of London",Biological Sciences,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Alan,,Gange,BB/M016005/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM016005%2F1
Multi-trophic impacts on the supply of a key ecosystem service: the economic and ecological impacts of parasites of pollinating insects on pollination,BBSRC,DTP,2014-10-01,2018-09-30,102126,"Royal Holloway, University of London",Biological Sciences,"Egham Hill, Egham, Surrey, TW20 0EX, South East, United Kingdom",TW20 0EX,South East,Mark,,Brown,BB/L016001/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL016001%2F1
Image Analysis for Biologists: An Online Course,BBSRC,DTP,2017-01-01,2018-12-31,32620,University of Nottingham,School of Computer Science,"University Park, Nottingham, Nottinghamshire, NG7 2RD, East Midlands, United Kingdom",NG7 2RD,East Midlands,Tony,,Pridmore,BB/P011845/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FP011845%2F1
Oxynitride Materials for Energy Applications,STFC,DTP,2013-10-01,2017-09-30,46644,University of Edinburgh,Sch of Chemistry,"Old College, South Bridge, Mayfield Road, Edinburgh, EH8 9YL, Scotland, United Kingdom",EH8 9YL,Scotland,J,Paul,Attfield,ST/L502649/1,http://gtr.rcuk.ac.uk:80/projects?ref=ST%2FL502649%2F1
BGP Capacity Building Grant Proposal,AHRC,DTP,2011-10-03,2017-10-02,488339,Nottingham Trent University,Business Innovation and Creation Unit,"Burton Street, Nottingham, Nottinghamshire, NG1 4BU, East Midlands, United Kingdom",NG1 4BU,East Midlands,Martyn,,Bennett,AH/J000698/1,http://gtr.rcuk.ac.uk:80/projects?ref=AH%2FJ000698%2F1
Cambridge - ESRC Standard Research Transition Standard Quota DTG,ESRC,DTP,2011-04-01,2016-09-30,3271140,University of Cambridge,Board of Graduate Studies,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Alice,,Jago,ES/I901957/1,http://gtr.rcuk.ac.uk:80/projects?ref=ES%2FI901957%2F1
Developing new tools for understanding the in vivo distribution of vaccine adjuvants,BBSRC,DTP,2014-10-01,2018-09-30,94126,Aston University,Sch of Life and Health Sciences,"Aston Triangle, Birmingham, B4 7ET, West Midlands, United Kingdom",B4 7ET,West Midlands,Yvonne,,Perrie,BB/L017245/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FL017245%2F1
"Unraveling the relationship between IgG yield, recovered/observed clonal numbers and specific integration site on the yield of IgG in CHO cells",BBSRC,DTP,2012-10-01,2017-03-31,92173,University of Kent,Sch of Biosciences,"The Registry, Canterbury, Kent, CT2 7NZ, South East, United Kingdom",CT2 7NZ,South East,Christopher,Mark,Smales,BB/K004409/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FK004409%2F1
The genetic basis of Boron efficiency in Brassica napus,BBSRC,DTP,2014-10-01,2019-03-30,94126,University of York,Biology,"Heslington, York, North Yorkshire, YO10 5DD, Yorkshire and The Humber, United Kingdom",YO10 5DD,Yorkshire and The Humber,Ian,,Bancroft,BB/M503137/1,http://gtr.rcuk.ac.uk:80/projects?ref=BB%2FM503137%2F1
Single-cell analysis of replicative fate in vivo by heavy water labelling of DNA and mass spectrometry,NC3Rs,DTP,2013-10-01,2016-12-31,90000,University of Cambridge,Engineering,"Lensfield Road, Cambridge, CB2 1EW, East of England, United Kingdom",CB2 1EW,East of England,Robert,,Busch,NC/K001787/1,http://gtr.rcuk.ac.uk:80/projects?ref=NC%2FK001787%2F1
LSHTM-2013-DTG Funding 1 Studentship,NERC,DTP,2013-09-30,2017-09-28,79871,London Sch of Hygiene and Trop Medicine,Public Health and Policy,"Keppel Street, WC1E 7HT, London, United Kingdom",WC1E 7HT,London,Zaid,,Chalabi,NE/L501979/1,http://gtr.rcuk.ac.uk:80/projects?ref=NE%2FL501979%2F1
